node_name,betweenness_score,degree_score,status
207,1488.0529411764708,3.0,Ważny (Krytyczny)
206,1420.0,2.0,Ważny (Krytyczny)
208,1368.0,2.0,Ważny (Krytyczny)
209,1314.0,2.0,Ważny (Krytyczny)
205,1297.8673202614377,3.0,Ważny (Krytyczny)
211,1283.0,3.0,Ważny (Krytyczny)
185,1239.4474789915964,3.0,Ważny (Krytyczny)
184,1203.4474789915964,2.0,Ważny (Krytyczny)
115,1147.9506069094311,4.0,Ważny (Krytyczny)
193,1063.055415499534,4.0,Ważny (Krytyczny)
117,973.2514472455659,3.0,Mniej ważny
120,923.2945845004679,4.0,Mniej ważny
113,863.6212885154067,3.0,Mniej ważny
121,855.6666666666665,4.0,Mniej ważny
237,813.0,3.0,Mniej ważny
119,792.5589169000935,4.0,Mniej ważny
267,790.6022875816999,3.0,Mniej ważny
187,772.6340336134461,3.0,Mniej ważny
191,770.9673669467795,3.0,Mniej ważny
265,738.585060690944,3.0,Mniej ważny
189,732.246778711485,4.0,Mniej ważny
204,702.0007002801126,2.0,Mniej ważny
183,682.6134453781514,3.0,Mniej ważny
161,682.3232026143783,3.0,Mniej ważny
239,665.6666666666666,3.0,Mniej ważny
163,655.5962184873957,3.0,Mniej ważny
169,652.9858543417371,4.0,Mniej ważny
159,620.1160597572358,2.0,Mniej ważny
171,608.302521008403,3.0,Mniej ważny
157,594.2493930905696,2.0,Mniej ważny
173,534.8858543417364,2.0,Mniej ważny
111,528.462651727358,4.0,Mniej ważny
199,513.452521008403,3.0,Mniej ważny
125,494.66666666666674,3.0,Mniej ważny
151,467.33333333333326,3.0,Mniej ważny
213,423.0,3.0,Mniej ważny
197,412.12931839402455,2.0,Mniej ważny
127,405.75000000000006,3.0,Mniej ważny
149,334.25,2.0,Mniej ważny
249,295.83333333333337,3.0,Mniej ważny
275,281.91111111111104,3.0,Mniej ważny
273,278.94206349206337,3.0,Mniej ważny
123,264.0,2.0,Mniej ważny
215,264.0,2.0,Mniej ważny
147,258.25,2.0,Mniej ważny
129,253.74999999999997,3.0,Mniej ważny
201,217.90261437908526,3.0,Mniej ważny
241,216.0,3.0,Mniej ważny
141,190.0,3.0,Mniej ważny
271,188.0666666666667,3.0,Mniej ważny
145,183.75000000000003,2.0,Mniej ważny
255,180.16666666666666,4.0,Mniej ważny
217,179.0,3.0,Mniej ważny
179,178.49999999999997,3.0,Mniej ważny
61,178.0,2.0,Mniej ważny
247,177.83333333333331,3.0,Mniej ważny
109,174.33333333333334,2.0,Mniej ważny
269,160.88333333333333,3.0,Mniej ważny
195,160.14126984126975,2.0,Mniej ważny
107,142.14439775910355,2.0,Mniej ważny
261,137.31101774042955,3.0,Mniej ważny
105,132.74439775910355,3.0,Mniej ważny
257,119.36596638655463,3.0,Mniej ważny
181,115.5,3.0,Mniej ważny
229,115.0,3.0,Mniej ważny
101,99.0,3.0,Mniej ważny
103,97.33333333333333,2.0,Mniej ważny
263,94.47450980392158,3.0,Mniej ważny
139,92.24999999999999,2.0,Mniej ważny
601,90.0,2.0,Mniej ważny
143,90.0,2.0,Mniej ważny
164,90.0,2.0,Mniej ważny
251,85.5,2.0,Mniej ważny
177,31.0,2.0,Mniej ważny
259,28.078571428571443,2.0,Mniej ważny
153,12.0,2.0,Mniej ważny
131,0.0,1.0,Mniej ważny
20,0.0,1.0,Mniej ważny
15,0.0,1.0,Mniej ważny
10,0.0,1.0,Mniej ważny
35,0.0,1.0,Mniej ważny
60,0.0,1.0,Mniej ważny
40,0.0,1.0,Mniej ważny
50,0.0,1.0,Mniej ważny
203,0.0,1.0,Mniej ważny
167,0.0,1.0,Mniej ważny
166,0.0,1.0,Mniej ważny
219,0.0,1.0,Mniej ważny
231,0.0,1.0,Mniej ważny
225,0.0,1.0,Mniej ważny
253,0.0,1.0,Mniej ważny
243,0.0,1.0,Mniej ważny
