node_name,betweenness_score,degree_score,rank_grafowy,status
207,1488.0529411764708,3.0,1,Ważny (Krytyczny)
206,1420.0,2.0,2,Ważny (Krytyczny)
208,1368.0,2.0,3,Ważny (Krytyczny)
209,1314.0,2.0,4,Ważny (Krytyczny)
205,1297.8673202614377,3.0,5,Ważny (Krytyczny)
211,1283.0,3.0,6,Ważny (Krytyczny)
185,1239.4474789915964,3.0,7,Ważny (Krytyczny)
184,1203.4474789915962,2.0,8,Ważny (Krytyczny)
115,1147.9506069094311,4.0,9,Ważny (Krytyczny)
193,1063.055415499534,4.0,10,Ważny (Krytyczny)
117,973.251447245566,3.0,11,Mniej ważny
120,923.2945845004677,4.0,12,Mniej ważny
113,863.6212885154067,3.0,13,Mniej ważny
121,855.6666666666666,4.0,14,Mniej ważny
237,813.0,3.0,15,Mniej ważny
119,792.5589169000935,4.0,16,Mniej ważny
267,790.6022875816999,3.0,17,Mniej ważny
187,772.6340336134461,3.0,18,Mniej ważny
191,770.9673669467796,3.0,19,Mniej ważny
265,738.5850606909441,3.0,20,Mniej ważny
189,732.2467787114851,4.0,21,Mniej ważny
204,702.0007002801126,2.0,22,Mniej ważny
183,682.6134453781514,3.0,23,Mniej ważny
161,682.3232026143783,3.0,24,Mniej ważny
239,665.6666666666666,3.0,25,Mniej ważny
163,655.5962184873958,3.0,26,Mniej ważny
169,652.9858543417371,4.0,27,Mniej ważny
159,620.1160597572358,2.0,28,Mniej ważny
171,608.302521008403,3.0,29,Mniej ważny
157,594.2493930905696,2.0,30,Mniej ważny
173,534.8858543417364,2.0,31,Mniej ważny
111,528.4626517273578,4.0,32,Mniej ważny
199,513.452521008403,3.0,33,Mniej ważny
125,494.66666666666674,3.0,34,Mniej ważny
151,467.33333333333326,3.0,35,Mniej ważny
213,423.0,3.0,36,Mniej ważny
197,412.1293183940246,2.0,37,Mniej ważny
127,405.75000000000006,3.0,38,Mniej ważny
149,334.25,2.0,39,Mniej ważny
249,295.83333333333337,3.0,40,Mniej ważny
275,281.91111111111104,3.0,41,Mniej ważny
273,278.9420634920634,3.0,42,Mniej ważny
123,264.0,2.0,43,Mniej ważny
215,264.0,2.0,44,Mniej ważny
147,258.25,2.0,45,Mniej ważny
129,253.75,3.0,46,Mniej ważny
201,217.9026143790852,3.0,47,Mniej ważny
241,216.0,3.0,48,Mniej ważny
141,190.0,3.0,49,Mniej ważny
271,188.0666666666667,3.0,50,Mniej ważny
145,183.75000000000003,2.0,51,Mniej ważny
255,180.16666666666666,4.0,52,Mniej ważny
217,179.0,3.0,53,Mniej ważny
179,178.49999999999997,3.0,54,Mniej ważny
61,178.0,2.0,55,Mniej ważny
247,177.83333333333331,3.0,56,Mniej ważny
109,174.33333333333334,2.0,57,Mniej ważny
269,160.88333333333333,3.0,58,Mniej ważny
195,160.14126984126978,2.0,59,Mniej ważny
107,142.14439775910355,2.0,60,Mniej ważny
261,137.31101774042952,3.0,61,Mniej ważny
105,132.74439775910355,3.0,62,Mniej ważny
257,119.36596638655463,3.0,63,Mniej ważny
181,115.49999999999999,3.0,64,Mniej ważny
229,115.0,3.0,65,Mniej ważny
101,99.0,3.0,66,Mniej ważny
103,97.33333333333333,2.0,67,Mniej ważny
263,94.47450980392158,3.0,68,Mniej ważny
139,92.24999999999999,2.0,69,Mniej ważny
601,90.0,2.0,70,Mniej ważny
143,90.0,2.0,71,Mniej ważny
164,90.0,2.0,72,Mniej ważny
251,85.5,2.0,73,Mniej ważny
177,31.0,2.0,74,Mniej ważny
259,28.078571428571443,2.0,75,Mniej ważny
153,12.0,2.0,76,Mniej ważny
131,0.0,1.0,77,Mniej ważny
20,0.0,1.0,78,Mniej ważny
15,0.0,1.0,79,Mniej ważny
10,0.0,1.0,80,Mniej ważny
35,0.0,1.0,81,Mniej ważny
60,0.0,1.0,82,Mniej ważny
40,0.0,1.0,83,Mniej ważny
50,0.0,1.0,84,Mniej ważny
203,0.0,1.0,85,Mniej ważny
167,0.0,1.0,86,Mniej ważny
166,0.0,1.0,87,Mniej ważny
219,0.0,1.0,88,Mniej ważny
231,0.0,1.0,89,Mniej ważny
225,0.0,1.0,90,Mniej ważny
253,0.0,1.0,91,Mniej ważny
243,0.0,1.0,92,Mniej ważny
