rank_hydrauliczny,wezel,kategoria_grafowa,betweenness_score,spadek_cisnienia_m,cisnienie_po_awarii_m,min_cisnienie_m,wystapilo_ujemne,wezly_ponizej_20m,rank_grafowy,liczba_rur_zamknietych
1,119,Mniej ważny,792.5589169000935,262.168,-220.0966,-1006.762,1,73,16,4
2,60,Mniej ważny,0.0,172.5659,-130.4945,-408.5939,1,92,82,2
3,61,Mniej ważny,178.0,165.799,-123.7276,-389.04,1,90,55,2
4,121,Mniej ważny,855.6666666666666,143.9755,-101.9041,-616.3105,1,88,14,4
5,123,Mniej ważny,264.0,136.9311,-94.8597,-389.04,1,89,43,2
6,161,Mniej ważny,682.3232026143783,49.0275,-6.9561,-190.2543,1,64,24,3
7,157,Mniej ważny,594.2493930905696,48.9117,-6.8403,-186.0229,1,66,30,2
8,159,Mniej ważny,620.1160597572358,46.9209,-4.8495,-183.3774,1,65,28,2
9,173,Mniej ważny,534.8858543417364,34.8481,7.2233,-136.6834,1,33,31,2
10,199,Mniej ważny,513.452521008403,34.4303,7.6411,-135.7201,1,32,33,3
11,171,Mniej ważny,608.302521008403,27.8022,14.2692,-130.809,1,32,29,3
12,163,Mniej ważny,655.5962184873958,19.9676,22.1038,-108.1311,1,55,26,3
13,265,Mniej ważny,738.5850606909441,19.7517,22.3197,-113.7437,1,52,20,3
14,207,Ważny (Krytyczny),1488.0529411764708,8.7159,33.3555,-1.3232,1,25,1,3
15,206,Ważny (Krytyczny),1420.0,8.3096,33.7618,-1.479,1,24,2,2
16,208,Ważny (Krytyczny),1368.0,7.833,34.2384,-1.479,1,23,3,2
17,209,Ważny (Krytyczny),1314.0,7.4081,34.6633,-1.479,1,22,4,2
18,211,Ważny (Krytyczny),1283.0,6.8928,35.1786,-1.4809,1,21,6,3
19,169,Mniej ważny,652.9858543417371,6.1661,35.9053,-74.4217,1,43,27,4
20,237,Mniej ważny,813.0,3.2864,38.785,-0.7698,1,13,15,3
21,239,Mniej ważny,665.6666666666666,2.82,39.2514,-0.7837,1,12,25,3
22,213,Mniej ważny,423.0,2.1913,39.8801,-0.6202,1,9,36,3
23,215,Mniej ważny,264.0,1.7318,40.3396,-0.6308,1,8,44,2
24,601,Mniej ważny,90.0,1.3474,40.724,-3.7137,1,4,70,2
25,141,Mniej ważny,190.0,1.2897,40.7817,-0.6059,1,7,49,3
26,217,Mniej ważny,179.0,1.278,40.7934,-0.6786,1,7,53,3
27,164,Mniej ważny,90.0,1.0128,41.0586,-0.6583,1,6,72,2
28,129,Mniej ważny,253.75,0.9756,41.0958,-0.7007,1,6,46,3
29,101,Mniej ważny,99.0,0.9473,41.1241,0.0,0,4,66,3
30,241,Mniej ważny,216.0,0.8513,41.22,-0.6595,1,6,48,3
31,229,Mniej ważny,115.0,0.8136,41.2578,-0.6768,1,6,65,3
32,125,Mniej ważny,494.66666666666674,0.7822,41.2892,-5.1519,1,5,34,3
33,143,Mniej ważny,90.0,0.7784,41.293,-0.6058,1,6,71,2
34,149,Mniej ważny,334.25,0.7252,41.3462,-0.5653,1,5,39,2
35,151,Mniej ważny,467.33333333333326,0.7108,41.3606,-0.5543,1,5,35,3
