wezel,rank_grafowy,kategoria_grafowa,betweenness_score,cisnienie_bazowe_m,cisnienie_po_awarii_m,spadek_cisnienia_m,min_cisnienie_m,wystapilo_ujemne,wezly_ponizej_20m,liczba_rur_zamknietych
207,1,Ważny (Krytyczny),1488.0529411764708,42.0714,33.3555,8.7159,-1.3232,1,25,3
206,2,Ważny (Krytyczny),1420.0,42.0714,33.7618,8.3096,-1.479,1,24,2
208,3,Ważny (Krytyczny),1368.0,42.0714,34.2384,7.833,-1.479,1,23,2
209,4,Ważny (Krytyczny),1314.0,42.0714,34.6633,7.4081,-1.479,1,22,2
205,5,Ważny (Krytyczny),1297.8673202614375,42.0714,41.4003,0.6711,-0.49,1,5,3
211,6,Ważny (Krytyczny),1283.0,42.0714,35.1786,6.8928,-1.4809,1,21,3
185,7,Ważny (Krytyczny),1239.4474789915964,42.0714,41.4372,0.6342,-0.5074,1,5,3
184,8,Ważny (Krytyczny),1203.4474789915962,42.0714,41.4287,0.6427,-0.5283,1,5,2
115,9,Ważny (Krytyczny),1147.9506069094311,42.0714,41.7208,0.3506,-0.8022,1,5,4
193,10,Ważny (Krytyczny),1063.055415499534,42.0714,41.7083,0.3631,-1.0954,1,5,4
117,11,Mniej ważny,973.251447245566,42.0714,41.7847,0.2867,-1.6419,1,5,3
120,12,Mniej ważny,923.2945845004676,42.0714,41.7669,0.3045,-5.1186,1,5,4
113,13,Mniej ważny,863.6212885154067,42.0714,41.5935,0.4779,-0.6612,1,5,3
121,14,Mniej ważny,855.6666666666666,42.0714,-101.9041,143.9755,-616.3105,1,88,4
237,15,Mniej ważny,813.0,42.0714,38.785,3.2864,-0.7698,1,13,3
119,16,Mniej ważny,792.5589169000935,42.0714,-220.0966,262.168,-1006.762,1,73,4
267,17,Mniej ważny,790.6022875816999,42.0714,41.6782,0.3932,-0.8776,1,5,3
187,18,Mniej ważny,772.6340336134461,42.0714,41.6215,0.4499,-0.5325,1,5,3
191,19,Mniej ważny,770.9673669467796,42.0714,41.6887,0.3827,-0.5907,1,5,3
265,20,Mniej ważny,738.5850606909441,42.0714,22.3197,19.7517,-113.7437,1,52,3
189,21,Mniej ważny,732.2467787114851,42.0714,41.6379,0.4335,-0.8735,1,5,4
204,22,Mniej ważny,702.0007002801126,42.0714,41.6384,0.4329,-0.5174,1,5,2
183,23,Mniej ważny,682.6134453781514,42.0714,41.622,0.4494,-0.8085,1,5,3
161,24,Mniej ważny,682.3232026143783,42.0714,-6.9561,49.0275,-190.2543,1,64,3
239,25,Mniej ważny,665.6666666666666,42.0714,39.2514,2.82,-0.7837,1,12,3
163,26,Mniej ważny,655.5962184873958,42.0714,22.1038,19.9676,-108.1311,1,55,3
169,27,Mniej ważny,652.9858543417371,42.0714,35.9053,6.1661,-74.4217,1,43,4
159,28,Mniej ważny,620.1160597572358,42.0714,-4.8495,46.9209,-183.3774,1,65,2
171,29,Mniej ważny,608.302521008403,42.0714,14.2692,27.8022,-130.809,1,32,3
157,30,Mniej ważny,594.2493930905696,42.0714,-6.8403,48.9117,-186.0229,1,66,2
173,31,Mniej ważny,534.8858543417364,42.0714,7.2233,34.8481,-136.6834,1,33,2
111,32,Mniej ważny,528.4626517273578,42.0714,41.7291,0.3423,-2.5158,1,5,4
