rank_hydrauliczny,rank_grafowy,wezel,status,betweenness_score,degree_score,spadek_cisnienia_m,cisnienie_po_awarii_m,liczba_rur_zamknietych,zgodnosc
1,16,119,Mniej ważny,792.5589169000935,4.0,262.168,-220.0966,4,Tylko hydraulicznie wazny
2,82,60,Mniej ważny,0.0,1.0,172.5659,-130.4945,2,Tylko hydraulicznie wazny
3,55,61,Mniej ważny,178.0,2.0,165.799,-123.7276,2,Tylko hydraulicznie wazny
4,14,121,Mniej ważny,855.6666666666666,4.0,143.9755,-101.9041,4,Tylko hydraulicznie wazny
5,43,123,Mniej ważny,264.0,2.0,136.9311,-94.8597,2,Tylko hydraulicznie wazny
6,24,161,Mniej ważny,682.3232026143783,3.0,49.0275,-6.9561,3,Tylko hydraulicznie wazny
7,30,157,Mniej ważny,594.2493930905696,2.0,48.9117,-6.8403,2,Tylko hydraulicznie wazny
8,28,159,Mniej ważny,620.1160597572358,2.0,46.9209,-4.8495,2,Tylko hydraulicznie wazny
9,31,173,Mniej ważny,534.8858543417364,2.0,34.8481,7.2233,2,Tylko hydraulicznie wazny
10,33,199,Mniej ważny,513.452521008403,3.0,34.4303,7.6411,3,Tylko hydraulicznie wazny
11,29,171,Mniej ważny,608.302521008403,3.0,27.8022,14.2692,3,Mniej wazny w obu
12,26,163,Mniej ważny,655.5962184873958,3.0,19.9676,22.1038,3,Mniej wazny w obu
13,20,265,Mniej ważny,738.5850606909441,3.0,19.7517,22.3197,3,Mniej wazny w obu
14,1,207,Ważny (Krytyczny),1488.0529411764708,3.0,8.7159,33.3555,3,Tylko grafowo wazny
15,2,206,Ważny (Krytyczny),1420.0,2.0,8.3096,33.7618,2,Tylko grafowo wazny
16,3,208,Ważny (Krytyczny),1368.0,2.0,7.833,34.2384,2,Tylko grafowo wazny
17,4,209,Ważny (Krytyczny),1314.0,2.0,7.4081,34.6633,2,Tylko grafowo wazny
18,6,211,Ważny (Krytyczny),1283.0,3.0,6.8928,35.1786,3,Tylko grafowo wazny
19,27,169,Mniej ważny,652.9858543417371,4.0,6.1661,35.9053,4,Mniej wazny w obu
20,15,237,Mniej ważny,813.0,3.0,3.2864,38.785,3,Mniej wazny w obu
21,25,239,Mniej ważny,665.6666666666666,3.0,2.82,39.2514,3,Mniej wazny w obu
22,36,213,Mniej ważny,423.0,3.0,2.1913,39.8801,3,Mniej wazny w obu
23,44,215,Mniej ważny,264.0,2.0,1.7318,40.3396,2,Mniej wazny w obu
24,70,601,Mniej ważny,90.0,2.0,1.3474,40.724,2,Mniej wazny w obu
25,49,141,Mniej ważny,190.0,3.0,1.2897,40.7817,3,Mniej wazny w obu
26,53,217,Mniej ważny,179.0,3.0,1.278,40.7934,3,Mniej wazny w obu
27,72,164,Mniej ważny,90.0,2.0,1.0128,41.0586,2,Mniej wazny w obu
28,46,129,Mniej ważny,253.75,3.0,0.9756,41.0958,3,Mniej wazny w obu
29,66,101,Mniej ważny,99.0,3.0,0.9473,41.1241,3,Mniej wazny w obu
30,48,241,Mniej ważny,216.0,3.0,0.8513,41.22,3,Mniej wazny w obu
31,65,229,Mniej ważny,115.0,3.0,0.8136,41.2578,3,Mniej wazny w obu
32,34,125,Mniej ważny,494.66666666666674,3.0,0.7822,41.2892,3,Mniej wazny w obu
33,71,143,Mniej ważny,90.0,2.0,0.7784,41.293,2,Mniej wazny w obu
34,39,149,Mniej ważny,334.25,2.0,0.7252,41.3462,2,Mniej wazny w obu
35,35,151,Mniej ważny,467.33333333333326,3.0,0.7108,41.3606,3,Mniej wazny w obu
36,5,205,Ważny (Krytyczny),1297.8673202614375,3.0,0.6711,41.4003,3,Tylko grafowo wazny
37,45,147,Mniej ważny,258.25,2.0,0.6678,41.4036,2,Mniej wazny w obu
38,51,145,Mniej ważny,183.75000000000003,2.0,0.6455,41.4259,2,Mniej wazny w obu
39,8,184,Ważny (Krytyczny),1203.4474789915962,2.0,0.6427,41.4287,2,Tylko grafowo wazny
40,7,185,Ważny (Krytyczny),1239.4474789915964,3.0,0.6342,41.4372,3,Tylko grafowo wazny
41,52,255,Mniej ważny,180.16666666666663,4.0,0.5896,41.4818,4,Mniej wazny w obu
42,74,177,Mniej ważny,31.0,2.0,0.5499,41.5215,2,Mniej wazny w obu
43,41,275,Mniej ważny,281.91111111111104,3.0,0.5347,41.5367,3,Mniej wazny w obu
44,86,167,Mniej ważny,0.0,1.0,0.5176,41.5538,1,Mniej wazny w obu
45,87,166,Mniej ważny,0.0,1.0,0.5174,41.554,1,Mniej wazny w obu
